huc_8,pca,huc_pca_ratio,pca_huc_ratio
02040202,126,0.64455644095197,0.0983529967291168
02040203,122,1,0.0564920983769324
02040204,125,0.999875291222277,0.0106639652442899
02040204,126,0.000124708237544717,3.54771316956693e-07
02040205,122,0.532831779196251,0.0117799336037454
02040205,125,0.456231287547207,0.169636999957278
02040206,125,0.00841471040498681,0.00426121078948926
02040206,126,0.991585289112383,0.133938179846637
02040207,125,0.999999999458002,0.310242374313648
02040301,126,0.999999998152603,0.170577353497569
02040302,126,0.999999997318736,0.0835087109966433
02040303,123,0.343337694413242,0.0236429344833891
02040303,125,0.545520392835633,0.146421056562298
02040303,124,0.111141906066475,0.10248774329622
03020105,98,0.999999993570502,0.014786972289179
03020201,98,1,0.0812474769709405
03020202,98,0.999999999982035,0.0359667209919122
03020203,98,1,0.0340553010141082
03020204,98,0.999999997262824,0.0397003842088739
03020301,98,0.999999995917027,0.0203213395850267
03020302,98,0.999999996047081,0.0190880485094645
03030002,97,0.355716100136453,0.0307563082713238
03030002,98,0.644283899863492,0.0371482473996434
03030003,97,0.40477855321584,0.0297215225644425
03030003,98,0.595221446784193,0.0291448952275004
03030004,98,1,0.0550374008027496
03030005,98,0.999999999558342,0.0348946916011459
03030006,98,1,0.053145744952556
03030007,98,1,0.0587970735978709
03040101,118,0.0482978852728393,0.00984933891236221
03040101,97,0.951702114727161,0.118292118221706
03040102,97,1,0.0459015414662094
03040103,97,0.919751273851246,0.0554125570722556
03040103,98,0.080248726148794,0.00322408370303446
03040104,97,0.452168462483433,0.0198971589807812
03040104,98,0.539883982479453,0.0158424232614095
03160202,87,0.227779453291595,0.00634164160451353
03160202,89,0.392816737140902,0.0173994882392073
03160203,90,0.973345191523164,0.0530250792564894
03160203,89,0.0266548084768213,0.00195884333140185
03160204,90,0.999999999702529,0.0303150277650699
03160205,90,0.999999998827252,0.0163781180777155
03170001,88,0.168112595950857,0.0120381414079631
03170001,87,0.831887404049169,0.0215877070370775
03170002,90,0.0273069335584007,0.00133113325837449
03170002,87,0.954865576583085,0.0394676431335515
03170002,89,0.0178274898585474,0.00117232626844889
03090103,101,1,0.0197783787653044
04150500,129,0.999119767072966,0.0613260096655395
04150500,130,0.000814855971696475,5.19042027197562e-05
04150600,134,0.999999642553049,3.02786939589352e-05
05010001,119,0.118785614464734,0.0712158280203117
05010001,122,0.476703527511858,0.036495834031178
05010001,127,0.404510858023335,0.022104072681201
05010002,122,0.150322225560349,0.0039936605539681
05010002,127,0.849677774439756,0.0161119979908501
05090102,117,1,0.0626308225745326
05090103,110,0.209077706737227,0.0485068026943817
05090103,109,0.22170350090173,0.0108085743826136
05090103,117,3.1290700719031e-06,4.4647989153844e-07
05090103,112,0.569215663291298,0.020877496908208
05090104,110,0.497187292509564,0.0828994788027285
05090104,109,0.502812707491477,0.0176172845192776
05090201,110,7.30809669445868e-05,3.53313292092446e-05
05090201,109,0.368799788993672,0.0374668600973874
05090201,114,0.258163562048083,0.241699128853423
05090201,112,0.372963567990919,0.0285055068139773
05090202,114,0.477552284830995,0.374266257878654
05090202,112,0.0374474751493069,0.00239587692320502
05090202,113,0.485000240019698,0.2503782087986
05090203,109,0.275179242724743,0.0187770287752624
05090203,114,0.153819330129393,0.0967265331172807
05090203,107,0.571001427145897,0.0503247947087317
05100101,110,0.00014437671289975,9.23546372881295e-05
07040004,43,1,0.0298400327061518
07040005,46,0.717241864187099,0.0260899794916763
07040005,77,0.282758135812837,0.0280656630122784
07040006,46,0.447949799974996,0.0155291637121222
07040006,77,0.415892815519875,0.0393416190688045
07040007,76,0.0545689140112779,0.0125287851341858
07040007,46,0.601147858008671,0.0682378381711023
07040007,77,0.343400713307361,0.106364631055888
07040008,68,0.781168979204766,0.154595414790591
07040008,43,0.216136740162015,0.00754799760502963
07050002,75,0.31491184795517,0.0299099593311247
07050003,46,0.923828894820472,0.0340702920042062
07050003,75,0.0761711051794645,0.00454172689284005
07050004,46,1,0.0426172766814514
07050005,46,1,0.10273550834871
07080208,70,0.997314589677207,0.0610684587361836
07080209,70,1,0.0622852017550082
07090001,76,0.6491038291256,0.123958445680523
07090001,79,0.295448730441208,0.147576861670294
07090001,78,0.0554474404332171,0.0411764844457063
07090002,76,0.0162964974107828,0.00301085408602565
07090002,79,0.333768981684539,0.161293030630785
