huc_8,huc_6,huc_4,huc_2
10090102,100901,1009,10
10090201,100902,1009,10
10090202,100902,1009,10
10090203,100902,1009,10
10090204,100902,1009,10
10090205,100902,1009,10
10090206,100902,1009,10
10090207,100902,1009,10
10090208,100902,1009,10
10090209,100902,1009,10
10090210,100902,1009,10
10100001,101000,1010,10
10100002,101000,1010,10
10100003,101000,1010,10
10100004,101000,1010,10
10100005,101000,1010,10
10110101,101101,1011,10
10110102,101101,1011,10
10110201,101102,1011,10
10110202,101102,1011,10
10110203,101102,1011,10
10110204,101102,1011,10
10110205,101102,1011,10
10120101,101201,1012,10
10120102,101201,1012,10
10120103,101201,1012,10
10120104,101201,1012,10
10120105,101201,1012,10
10120106,101201,1012,10
10120107,101201,1012,10
10120108,101201,1012,10
10120109,101201,1012,10
10120110,101201,1012,10
10120111,101201,1012,10
10120112,101201,1012,10
10120113,101201,1012,10
10120201,101202,1012,10
10120202,101202,1012,10
10120203,101202,1012,10
10130101,101301,1013,10
10130102,101301,1013,10
10130103,101301,1013,10
10130104,101301,1013,10
10130105,101301,1013,10
10130106,101301,1013,10
10130201,101302,1013,10
10130202,101302,1013,10
10130203,101302,1013,10
10130204,101302,1013,10
10130205,101302,1013,10
10130206,101302,1013,10
10130301,101303,1013,10
10130302,101303,1013,10
10130303,101303,1013,10
10130304,101303,1013,10
10130305,101303,1013,10
10130306,101303,1013,10
10140101,101401,1014,10
10140102,101401,1014,10
10140103,101401,1014,10
10140104,101401,1014,10
10140105,101401,1014,10
10140201,101402,1014,10
10140202,101402,1014,10
10140203,101402,1014,10
10140204,101402,1014,10
10150001,101500,1015,10
10150002,101500,1015,10
10150003,101500,1015,10
10150004,101500,1015,10
10150005,101500,1015,10
10150006,101500,1015,10
10150007,101500,1015,10
10160001,101600,1016,10
10160002,101600,1016,10
10160003,101600,1016,10
10160004,101600,1016,10
10160005,101600,1016,10
10160006,101600,1016,10
10160007,101600,1016,10
10160008,101600,1016,10
10160009,101600,1016,10
10160011,101600,1016,10
10170101,101701,1017,10
10170102,101701,1017,10
10170103,101701,1017,10
10170201,101702,1017,10
10170202,101702,1017,10
10170203,101702,1017,10
10170204,101702,1017,10
10180001,101800,1018,10
10180002,101800,1018,10
10180003,101800,1018,10
10180004,101800,1018,10
10180005,101800,1018,10
10180006,101800,1018,10
10180007,101800,1018,10
10180008,101800,1018,10
10180009,101800,1018,10
10180010,101800,1018,10
10180011,101800,1018,10
10180012,101800,1018,10
10180013,101800,1018,10
10180014,101800,1018,10
10190001,101900,1019,10
10190002,101900,1019,10
10190003,101900,1019,10
10190004,101900,1019,10
10190005,101900,1019,10
10190006,101900,1019,10
10190007,101900,1019,10
10190008,101900,1019,10
10190009,101900,1019,10
10190010,101900,1019,10
10190011,101900,1019,10
10190012,101900,1019,10
10190013,101900,1019,10
10190014,101900,1019,10
10190015,101900,1019,10
10190016,101900,1019,10
10190017,101900,1019,10
10190018,101900,1019,10
10200101,102001,1020,10
10200102,102001,1020,10
10200103,102001,1020,10
10200201,102002,1020,10
10200202,102002,1020,10
10200203,102002,1020,10
10210001,102100,1021,10
10210002,102100,1021,10
10210003,102100,1021,10
10210004,102100,1021,10
10210005,102100,1021,10
10210006,102100,1021,10
10210007,102100,1021,10
10210008,102100,1021,10
10210009,102100,1021,10
10210010,102100,1021,10
10220001,102200,1022,10
10220002,102200,1022,10
10220003,102200,1022,10
10220004,102200,1022,10
10230001,102300,1023,10
10230002,102300,1023,10
10230003,102300,1023,10
10230004,102300,1023,10
10230005,102300,1023,10
10230006,102300,1023,10
10230007,102300,1023,10
10240001,102400,1024,10
10240002,102400,1024,10
10240003,102400,1024,10
10240004,102400,1024,10
10240005,102400,1024,10
10240006,102400,1024,10
10240007,102400,1024,10
10240008,102400,1024,10
10240009,102400,1024,10
10240010,102400,1024,10
10240011,102400,1024,10
10240012,102400,1024,10
10240013,102400,1024,10
10250001,102500,1025,10
10250002,102500,1025,10
10250003,102500,1025,10
10250004,102500,1025,10
10250005,102500,1025,10
10250006,102500,1025,10
10250007,102500,1025,10
10250008,102500,1025,10
10250009,102500,1025,10
10250010,102500,1025,10
10250011,102500,1025,10
10250012,102500,1025,10
10250013,102500,1025,10
10250014,102500,1025,10
10250015,102500,1025,10
10250016,102500,1025,10
10250017,102500,1025,10
10260001,102600,1026,10
10260002,102600,1026,10
10260003,102600,1026,10
10260004,102600,1026,10
10260005,102600,1026,10
10260006,102600,1026,10
10260007,102600,1026,10
10260008,102600,1026,10
10260009,102600,1026,10
10260010,102600,1026,10
10260011,102600,1026,10
10260012,102600,1026,10
10260013,102600,1026,10
10260014,102600,1026,10
10260015,102600,1026,10
10270101,102701,1027,10
10270102,102701,1027,10
10270103,102701,1027,10
10270104,102701,1027,10
10270201,102702,1027,10
10270202,102702,1027,10
10270203,102702,1027,10
10270204,102702,1027,10
10270205,102702,1027,10
10270206,102702,1027,10
10270207,102702,1027,10
10280101,102801,1028,10
10280102,102801,1028,10
10280103,102801,1028,10
10280201,102802,1028,10
10280202,102802,1028,10
10280203,102802,1028,10
10290101,102901,1029,10
10290102,102901,1029,10
10290103,102901,1029,10
10290104,102901,1029,10
10290105,102901,1029,10
10290106,102901,1029,10
10290107,102901,1029,10
10290108,102901,1029,10
10290109,102901,1029,10
10290110,102901,1029,10
10290111,102901,1029,10
10290201,102902,1029,10
10290202,102902,1029,10
10290203,102902,1029,10
10300101,103001,1030,10
10300102,103001,1030,10
10300103,103001,1030,10
10300104,103001,1030,10
10300200,103002,1030,10
11010001,110100,1101,11
11010002,110100,1101,11
11010003,110100,1101,11
11010004,110100,1101,11
11010005,110100,1101,11
11010006,110100,1101,11
11010007,110100,1101,11
11010008,110100,1101,11
11010009,110100,1101,11
11010010,110100,1101,11
11010011,110100,1101,11
11010012,110100,1101,11
11010013,110100,1101,11
11010014,110100,1101,11
11020001,110200,1102,11
11020002,110200,1102,11
11020003,110200,1102,11
11020004,110200,1102,11
11020005,110200,1102,11
11020006,110200,1102,11
11020007,110200,1102,11
11020008,110200,1102,11
11020009,110200,1102,11
11020010,110200,1102,11
11020011,110200,1102,11
11020012,110200,1102,11
11020013,110200,1102,11
11030001,110300,1103,11
11030002,110300,1103,11
11030003,110300,1103,11
11030004,110300,1103,11
11030005,110300,1103,11
11030006,110300,1103,11
11030007,110300,1103,11
11030008,110300,1103,11
11030009,110300,1103,11
11030010,110300,1103,11
11030011,110300,1103,11
11030012,110300,1103,11
11030013,110300,1103,11
11030014,110300,1103,11
11030015,110300,1103,11
11030016,110300,1103,11
11030017,110300,1103,11
11030018,110300,1103,11
11040001,110400,1104,11
11040002,110400,1104,11
