huc_4,pca,huc_pca_ratio,pca_huc_ratio
1207,64,0.346927806250763,0.192594847500152
1207,67,0.044420220235182,0.153198516712198
1207,63,0.607599315755899,0.172858940544178
1502,28,0.575857305618343,0.197749659294526
1502,31,0.196406140881975,0.0530469098858365
1502,29,0.227736553499683,0.549261399486428
1802,7,0.0258752225276945,0.0227655387037514
0506,109,2.06731807223084e-07,6.51309244117944e-08
0506,112,0.850052094772332,0.20147965764239
0506,113,0.149947698495861,0.286772880079626
0512,81,0.052950057672883,0.0657780429146158
1003,18,0.913009967324727,0.35192509035395
1003,20,0.00886923276204468,0.00723944504254209
1003,17,0.0781207999134803,0.0416897442106429
1027,40,0.470149696136921,0.141335941370977
1027,53,0.521919780401019,0.129088341816416
1209,61,0.327857203977882,0.184593246388602
1209,67,0.0203175386020406,0.127108257866778
1209,63,0.135620553054369,0.0699888571023911
0106,134,0.594298769281665,0.0762534789958296
0106,130,0.403756262864852,0.181562877555464
0703,46,0.544302098167403,0.209572809890513
0703,43,0.455697901832597,0.0738214757177908
0704,76,0.0115402315209255,0.0125287851341858
1024,40,0.00648331203203194,0.00173727478490073
1024,53,0.108942756281585,0.0240179955764927
1024,54,0.270370622399747,0.223957482073442
1024,41,0.198165069891625,0.384675416588211
1024,70,0.11120286635858,0.055898740937598
1024,45,0.304835373036423,0.190995864052056
0603,90,0.0048614842517952,0.00169848519748224
0603,88,0.0369978663985771,0.0302438542531194
0603,92,0.308442554439231,0.075855606106654
0307,94,0.932867080741437,0.32498331065014
0307,101,0.0671329191808253,0.0338115617533645
1025,34,0.102280854138384,0.0450773245447316
1025,40,0.277175153726079,0.135997985148405
1025,53,0.111732734171775,0.0451050753777703
1025,33,0.211400954277038,0.110713360642977
1025,52,0.191249972770164,0.231662833255103
1025,39,0.106160330916561,0.13512372636238
1108,47,0.129296884340397,0.0753264784726611
1108,31,0.865973192010379,0.107827352496358
1503,10,0.223091227311821,0.0588720875269849
1503,28,0.431649625536579,0.0939609564293422
1503,13,0.0522521103159051,0.110769713993123
1114,58,0.219768785632935,0.152455052024515
1114,86,0.00950200772015473,0.0382049333564931
1114,63,0.165576498651795,0.0838282609548915
1201,57,0.163795397090637,0.278217495137841
1201,58,0.243426267083837,0.0601256569497673
0316,90,0.17876918091914,0.129157782117359
0316,88,0.27130981488264,0.458628466298131
0316,87,0.0120773723432703,0.00739862028686018
0316,89,0.537843631815885,0.524195944697644
0711,81,0.188311136555961,0.0715617307758133
0711,71,0.471725125155569,0.825723050959931
0711,72,0.298613490197516,0.195076155837875
0711,70,0.041350248090952,0.0154020360925995
1404,24,0.0389568362727932,0.0256112581040273
1404,33,0.0382709961025392,0.0166995649823099
1404,26,0.0648437996910812,0.101454861422996
1404,21,0.857928367933589,0.359984621120657
1403,34,0.427092534186546,0.0631953707109379
1403,33,0.0958166500861717,0.0168474266390662
1403,25,0.477090815727271,0.0557078378868339
1601,16,0.361911037178117,0.126329803897056
1601,25,0.255111712675187,0.0267634274373924
1601,26,0.183860066256386,0.104146601462189
1601,21,0.199117183890411,0.0302478802221368
1105,53,0.0062943794349443,0.000718347122505934
1105,50,0.965550145975972,0.129761226348452
1105,51,0.0281554745890804,0.0168242159437323
0403,76,0.309108986856671,0.583410295310758
0403,79,0.0242922150122551,0.119923353646409
0403,103,0.00467863093298083,0.00202278239117865
0403,74,0.300236523790768,0.467705540530353
0403,75,0.361683643296621,0.54565491987285
1401,34,0.0108554082257773,0.00188936034758675
0310,101,0.999999999064586,0.221085787904827
1808,12,0.186103745874461,0.00826706881081667
1808,9,0.0144848517490466,0.000895890685110973
1808,8,0.799411402376534,0.23828409021613
1407,28,0.132908741934147,0.0229674404405862
